Warning: Permanently added '[localhost]:15116' (ED25519) to the list of known hosts.
syzkaller login: [  198.207741][ T9284] Bluetooth: hci0: unexpected cc 0x0c03 length: 249 > 1
[  201.494698][ T9278] bridge0: port 1(bridge_slave_0) entered disabled state
[  201.498158][ T9278] device bridge_slave_0 entered promiscuous mode
[  201.559018][ T9280] bond0: (slave bond_slave_1): Enslaving as an active interface with an up link
[  201.614229][ T9278] bridge0: port 2(bridge_slave_1) entered blocking state
[  201.616153][ T9278] bridge0: port 2(bridge_slave_1) entered disabled state
[  201.621074][ T9278] device bridge_slave_1 entered promiscuous mode
[  201.726074][ T9275] bridge0: port 1(bridge_slave_0) entered blocking state
[  201.728700][ T9275] bridge0: port 1(bridge_slave_0) entered disabled state
[  201.742249][ T9275] device bridge_slave_0 entered promiscuous mode
[  201.838227][ T9279] team0: Port device team_slave_0 added
[  201.840786][ T9275] bridge0: port 2(bridge_slave_1) entered blocking state
[  201.847255][ T9275] bridge0: port 2(bridge_slave_1) entered disabled state
[  201.858600][ T9275] device bridge_slave_1 entered promiscuous mode
[  201.932660][ T9280] team0: Port device team_slave_0 added
[  201.939199][ T9279] team0: Port device team_slave_1 added
[  202.036099][ T9280] team0: Port device team_slave_1 added
[  202.078992][ T9278] bond0: (slave bond_slave_0): Enslaving as an active interface with an up link
[  202.335676][ T9278] bond0: (slave bond_slave_1): Enslaving as an active interface with an up link
[  202.384152][ T9275] bond0: (slave bond_slave_0): Enslaving as an active interface with an up link
[  202.396761][ T9279] batman_adv: batadv0: Adding interface: batadv_slave_0
[  202.398317][ T9279] batman_adv: batadv0: The MTU of interface batadv_slave_0 is too small (1500) to handle the transport of batman-adv packets. Packets going over this interface will be fragmented on layer2 which could impact the performance. Setting the MTU to 1560 would solve the problem.
[  202.405751][ T9279] batman_adv: batadv0: Not using interface batadv_slave_0 (retrying later): interface not active
[  202.431774][ T9297] Bluetooth: hci2: command 0x041b tx timeout
[  202.442668][ T9298] Bluetooth: hci1: command 0x041b tx timeout
[  202.442697][ T9297] Bluetooth: hci3: command 0x041b tx timeout
[  202.485221][ T9275] bond0: (slave bond_slave_1): Enslaving as an active interface with an up link
[  202.488002][ T9279] batman_adv: batadv0: Adding interface: batadv_slave_1
[  202.489776][ T9279] batman_adv: batadv0: The MTU of interface batadv_slave_1 is too small (1500) to handle the transport of batman-adv packets. Packets going over this interface will be fragmented on layer2 which could impact the performance. Setting the MTU to 1560 would solve the problem.
[  202.500320][ T9279] batman_adv: batadv0: Not using interface batadv_slave_1 (retrying later): interface not active
[  202.505538][ T9280] batman_adv: batadv0: Adding interface: batadv_slave_0
[  202.507119][ T9280] batman_adv: batadv0: The MTU of interface batadv_slave_0 is too small (1500) to handle the transport of batman-adv packets. Packets going over this interface will be fragmented on layer2 which could impact the performance. Setting the MTU to 1560 would solve the problem.
[  202.512087][ T9297] Bluetooth: hci0: command 0x041b tx timeout
[  202.548819][ T9280] batman_adv: batadv0: Not using interface batadv_slave_0 (retrying later): interface not active
[  202.678343][ T9280] batman_adv: batadv0: Adding interface: batadv_slave_1
[  202.679890][ T9280] batman_adv: batadv0: The MTU of interface batadv_slave_1 is too small (1500) to handle the transport of batman-adv packets. Packets going over this interface will be fragmented on layer2 which could impact the performance. Setting the MTU to 1560 would solve the problem.
[  202.688425][ T9280] batman_adv: batadv0: Not using interface batadv_slave_1 (retrying later): interface not active
[  202.745165][ T9278] team0: Port device team_slave_0 added
[  202.756373][ T9278] team0: Port device team_slave_1 added
[  202.786316][ T9275] team0: Port device team_slave_0 added
[  202.896624][ T9275] team0: Port device team_slave_1 added
[  203.115197][ T9279] device hsr_slave_0 entered promiscuous mode
[  203.124690][ T9279] device hsr_slave_1 entered promiscuous mode
[  203.128910][ T9278] batman_adv: batadv0: Adding interface: batadv_slave_0
[  203.130721][ T9278] batman_adv: batadv0: The MTU of interface batadv_slave_0 is too small (1500) to handle the transport of batman-adv packets. Packets going over this interface will be fragmented on layer2 which could impact the performance. Setting the MTU to 1560 would solve the problem.
[  203.150160][ T9278] batman_adv: batadv0: Not using interface batadv_slave_0 (retrying later): interface not active
[  203.166429][ T9280] device hsr_slave_0 entered promiscuous mode
[  203.172882][ T9280] device hsr_slave_1 entered promiscuous mode
[  203.175285][ T9280] debugfs: Directory 'hsr0' with parent 'hsr' already present!
[  203.177366][ T9280] Cannot create hsr debugfs directory
[  203.332218][ T9278] batman_adv: batadv0: Adding interface: batadv_slave_1
[  203.333998][ T9278] batman_adv: batadv0: The MTU of interface batadv_slave_1 is too small (1500) to handle the transport of batman-adv packets. Packets going over this interface will be fragmented on layer2 which could impact the performance. Setting the MTU to 1560 would solve the problem.
[  203.340485][ T9278] batman_adv: batadv0: Not using interface batadv_slave_1 (retrying later): interface not active
[  203.364572][ T9275] batman_adv: batadv0: Adding interface: batadv_slave_0
[  203.366655][ T9275] batman_adv: batadv0: The MTU of interface batadv_slave_0 is too small (1500) to handle the transport of batman-adv packets. Packets going over this interface will be fragmented on layer2 which could impact the performance. Setting the MTU to 1560 would solve the problem.
[  203.373886][ T9275] batman_adv: batadv0: Not using interface batadv_slave_0 (retrying later): interface not active
[  203.549283][ T9275] batman_adv: batadv0: Adding interface: batadv_slave_1
[  203.552283][ T9275] batman_adv: batadv0: The MTU of interface batadv_slave_1 is too small (1500) to handle the transport of batman-adv packets. Packets going over this interface will be fragmented on layer2 which could impact the performance. Setting the MTU to 1560 would solve the problem.
[  203.558712][ T9275] batman_adv: batadv0: Not using interface batadv_slave_1 (retrying later): interface not active
[  203.805606][ T9278] device hsr_slave_0 entered promiscuous mode
[  203.808304][ T9278] device hsr_slave_1 entered promiscuous mode
[  203.815622][ T9278] debugfs: Directory 'hsr0' with parent 'hsr' already present!
[  203.817684][ T9278] Cannot create hsr debugfs directory
[  204.032198][ T9275] device hsr_slave_0 entered promiscuous mode
[  204.035201][ T9275] device hsr_slave_1 entered promiscuous mode
[  204.038561][ T9275] debugfs: Directory 'hsr0' with parent 'hsr' already present!
[  204.040635][ T9275] Cannot create hsr debugfs directory
[  204.512197][ T9292] Bluetooth: hci3: command 0x040f tx timeout
[  204.513596][ T9292] Bluetooth: hci2: command 0x040f tx timeout
[  204.514991][ T9292] Bluetooth: hci1: command 0x040f tx timeout
[  204.591934][ T9297] Bluetooth: hci0: command 0x040f tx timeout
[  204.985099][ T9279] netdevsim netdevsim2 netdevsim0: renamed from eth0
[  205.019544][ T9279] netdevsim netdevsim2 netdevsim1: renamed from eth1
[  205.038915][ T9279] netdevsim netdevsim2 netdevsim2: renamed from eth2
[  205.099821][ T9279] netdevsim netdevsim2 netdevsim3: renamed from eth3
[  205.293404][ T9280] netdevsim netdevsim3 netdevsim0: renamed from eth0
[  205.315279][ T9280] netdevsim netdevsim3 netdevsim1: renamed from eth1
[  205.354395][ T9280] netdevsim netdevsim3 netdevsim2: renamed from eth2
[  205.427941][ T9280] netdevsim netdevsim3 netdevsim3: renamed from eth3
[  205.736438][ T9278] netdevsim netdevsim1 netdevsim0: renamed from eth0
[  205.752016][ T9278] netdevsim netdevsim1 netdevsim1: renamed from eth1
[  205.788475][ T9278] netdevsim netdevsim1 netdevsim2: renamed from eth2
[  205.803406][ T9278] netdevsim netdevsim1 netdevsim3: renamed from eth3
[  205.901083][ T9279] 8021q: adding VLAN 0 to HW filter on device bond0
[  206.041047][ T5100] IPv6: ADDRCONF(NETDEV_CHANGE): veth1: link becomes ready
[  206.048766][ T5100] IPv6: ADDRCONF(NETDEV_CHANGE): veth0: link becomes ready
[  206.105058][ T9279] 8021q: adding VLAN 0 to HW filter on device team0
[  206.142685][ T9275] netdevsim netdevsim0 netdevsim0: renamed from eth0
[  206.170853][ T9275] netdevsim netdevsim0 netdevsim1: renamed from eth1
[  206.181255][ T9275] netdevsim netdevsim0 netdevsim2: renamed from eth2
[  206.204460][   T15] IPv6: ADDRCONF(NETDEV_CHANGE): veth0_to_bridge: link becomes ready
[  206.207948][   T15] IPv6: ADDRCONF(NETDEV_CHANGE): bridge_slave_0: link becomes ready
[  206.211241][   T15] bridge0: port 1(bridge_slave_0) entered blocking state
[  206.213544][   T15] bridge0: port 1(bridge_slave_0) entered forwarding state
[  206.225644][   T40] IPv6: ADDRCONF(NETDEV_CHANGE): bridge0: link becomes ready
[  206.263773][ T9275] netdevsim netdevsim0 netdevsim3: renamed from eth3
[  206.290217][ T5109] IPv6: ADDRCONF(NETDEV_CHANGE): veth1_to_bridge: link becomes ready
[  206.293254][ T5109] IPv6: ADDRCONF(NETDEV_CHANGE): bridge_slave_1: link becomes ready
[  206.295828][ T5109] bridge0: port 2(bridge_slave_1) entered blocking state
[  206.297407][ T5109] bridge0: port 2(bridge_slave_1) entered forwarding state
[  206.299570][ T5109] IPv6: ADDRCONF(NETDEV_CHANGE): veth0_to_bond: link becomes ready
[  206.339562][ T9280] 8021q: adding VLAN 0 to HW filter on device bond0
[  206.345514][   T40] IPv6: ADDRCONF(NETDEV_CHANGE): veth1_to_bond: link becomes ready
[  206.401180][   T40] IPv6: ADDRCONF(NETDEV_CHANGE): veth0_to_team: link becomes ready
[  206.406512][   T40] IPv6: ADDRCONF(NETDEV_CHANGE): team_slave_0: link becomes ready
[  206.463324][T10595] IPv6: ADDRCONF(NETDEV_CHANGE): team0: link becomes ready
[  206.466489][T10595] IPv6: ADDRCONF(NETDEV_CHANGE): veth1_to_team: link becomes ready
[  206.470205][T10595] IPv6: ADDRCONF(NETDEV_CHANGE): team_slave_1: link becomes ready
[  206.478635][T10595] IPv6: ADDRCONF(NETDEV_CHANGE): veth0_to_hsr: link becomes ready
[  206.481988][T10595] IPv6: ADDRCONF(NETDEV_CHANGE): hsr_slave_0: link becomes ready
[  206.485977][T10595] IPv6: ADDRCONF(NETDEV_CHANGE): veth1: link becomes ready
[  206.490461][T10595] IPv6: ADDRCONF(NETDEV_CHANGE): veth0: link becomes ready
[  206.509985][ T9280] 8021q: adding VLAN 0 to HW filter on device team0
[  206.537452][ T5100] IPv6: ADDRCONF(NETDEV_CHANGE): veth1_to_hsr: link becomes ready
[  206.544548][ T5100] IPv6: ADDRCONF(NETDEV_CHANGE): hsr_slave_1: link becomes ready
[  206.587711][ T8637] IPv6: ADDRCONF(NETDEV_CHANGE): veth0_to_bridge: link becomes ready
[  206.592010][ T9297] Bluetooth: hci1: command 0x0419 tx timeout
[  206.593398][ T9297] Bluetooth: hci2: command 0x0419 tx timeout
[  206.594716][ T9297] Bluetooth: hci3: command 0x0419 tx timeout
[  206.600514][ T8637] IPv6: ADDRCONF(NETDEV_CHANGE): bridge_slave_0: link becomes ready
[  206.613314][ T8637] bridge0: port 1(bridge_slave_0) entered blocking state
[  206.615648][ T8637] bridge0: port 1(bridge_slave_0) entered forwarding state
[  206.621297][ T9279] IPv6: ADDRCONF(NETDEV_CHANGE): hsr0: link becomes ready
[  206.671533][ T9292] Bluetooth: hci0: command 0x0419 tx timeout
[  206.718826][ T5100] IPv6: ADDRCONF(NETDEV_CHANGE): bridge0: link becomes ready
[  206.723354][ T5100] IPv6: ADDRCONF(NETDEV_CHANGE): veth1_to_bridge: link becomes ready
[  206.727025][ T5100] IPv6: ADDRCONF(NETDEV_CHANGE): bridge_slave_1: link becomes ready
[  206.729948][ T5100] bridge0: port 2(bridge_slave_1) entered blocking state
[  206.731714][ T5100] bridge0: port 2(bridge_slave_1) entered forwarding state
[  206.735871][ T5100] IPv6: ADDRCONF(NETDEV_CHANGE): veth0_to_bond: link becomes ready
[  206.804086][T10576] IPv6: ADDRCONF(NETDEV_CHANGE): veth1_to_bond: link becomes ready
[  206.841237][T10576] IPv6: ADDRCONF(NETDEV_CHANGE): vxcan1: link becomes ready
[  206.847593][T10576] IPv6: ADDRCONF(NETDEV_CHANGE): vxcan0: link becomes ready
[  206.850464][T10576] IPv6: ADDRCONF(NETDEV_CHANGE): veth0_to_team: link becomes ready
[  206.859506][T10576] IPv6: ADDRCONF(NETDEV_CHANGE): team_slave_0: link becomes ready
[  206.902318][T10576] IPv6: ADDRCONF(NETDEV_CHANGE): team0: link becomes ready
[  206.906685][T10576] IPv6: ADDRCONF(NETDEV_CHANGE): veth1_to_team: link becomes ready
[  206.914556][T10576] IPv6: ADDRCONF(NETDEV_CHANGE): team_slave_1: link becomes ready
[  206.933671][ T9279] 8021q: adding VLAN 0 to HW filter on device batadv0
[  206.993528][ T9278] 8021q: adding VLAN 0 to HW filter on device bond0
[  207.002724][ T8637] IPv6: ADDRCONF(NETDEV_CHANGE): veth0_to_hsr: link becomes ready
[  207.007028][ T8637] IPv6: ADDRCONF(NETDEV_CHANGE): hsr_slave_0: link becomes ready
[  207.042151][T10576] IPv6: ADDRCONF(NETDEV_CHANGE): veth1_to_hsr: link becomes ready
[  207.044972][T10576] IPv6: ADDRCONF(NETDEV_CHANGE): hsr_slave_1: link becomes ready
[  207.103743][ T8637] IPv6: ADDRCONF(NETDEV_CHANGE): veth1: link becomes ready
[  207.108369][ T8637] IPv6: ADDRCONF(NETDEV_CHANGE): veth0: link becomes ready
[  207.121577][ T9280] IPv6: ADDRCONF(NETDEV_CHANGE): hsr0: link becomes ready
[  207.138017][ T9278] 8021q: adding VLAN 0 to HW filter on device team0
[  207.194687][T10576] IPv6: ADDRCONF(NETDEV_CHANGE): veth1_virt_wifi: link becomes ready
[  207.197570][T10576] IPv6: ADDRCONF(NETDEV_CHANGE): veth0_virt_wifi: link becomes ready
[  207.200344][T10576] IPv6: ADDRCONF(NETDEV_CHANGE): veth0_to_bridge: link becomes ready
[  207.204221][T10576] IPv6: ADDRCONF(NETDEV_CHANGE): bridge_slave_0: link becomes ready
[  207.206821][T10576] bridge0: port 1(bridge_slave_0) entered blocking state
[  207.208396][T10576] bridge0: port 1(bridge_slave_0) entered forwarding state
[  207.213541][T10576] IPv6: ADDRCONF(NETDEV_CHANGE): bridge0: link becomes ready
[  207.258774][T10576] IPv6: ADDRCONF(NETDEV_CHANGE): veth1_to_bridge: link becomes ready
[  207.263715][T10576] IPv6: ADDRCONF(NETDEV_CHANGE): bridge_slave_1: link becomes ready
[  207.266288][T10576] bridge0: port 2(bridge_slave_1) entered blocking state
[  207.267889][T10576] bridge0: port 2(bridge_slave_1) entered forwarding state
[  207.270178][T10576] IPv6: ADDRCONF(NETDEV_CHANGE): veth0_to_bond: link becomes ready
[  207.312727][ T9275] 8021q: adding VLAN 0 to HW filter on device bond0
[  207.320107][ T8637] IPv6: ADDRCONF(NETDEV_CHANGE): veth1_to_bond: link becomes ready
[  207.327406][ T8637] IPv6: ADDRCONF(NETDEV_CHANGE): veth0_to_team: link becomes ready
[  207.336703][ T8637] IPv6: ADDRCONF(NETDEV_CHANGE): team_slave_0: link becomes ready
[  207.339509][ T8637] IPv6: ADDRCONF(NETDEV_CHANGE): veth1_vlan: link becomes ready
[  207.343622][ T8637] IPv6: ADDRCONF(NETDEV_CHANGE): veth0_vlan: link becomes ready
[  207.346888][ T8637] IPv6: ADDRCONF(NETDEV_CHANGE): vxcan1: link becomes ready
[  207.348720][ T8637] IPv6: ADDRCONF(NETDEV_CHANGE): vxcan0: link becomes ready
[  207.369006][ T9280] 8021q: adding VLAN 0 to HW filter on device batadv0
[  207.376867][ T9279] device veth0_vlan entered promiscuous mode
[  207.385132][ T8637] IPv6: ADDRCONF(NETDEV_CHANGE): team0: link becomes ready
[  207.388993][ T8637] IPv6: ADDRCONF(NETDEV_CHANGE): vlan0: link becomes ready
[  207.394222][ T8637] IPv6: ADDRCONF(NETDEV_CHANGE): vlan1: link becomes ready
[  207.396714][ T8637] IPv6: ADDRCONF(NETDEV_CHANGE): veth1_to_team: link becomes ready
[  207.399634][ T8637] IPv6: ADDRCONF(NETDEV_CHANGE): team_slave_1: link becomes ready
[  207.442792][ T5100] IPv6: ADDRCONF(NETDEV_CHANGE): veth1: link becomes ready
[  207.445915][ T5100] IPv6: ADDRCONF(NETDEV_CHANGE): veth0: link becomes ready
[  207.468226][ T9275] 8021q: adding VLAN 0 to HW filter on device team0
[  207.470630][T10594] IPv6: ADDRCONF(NETDEV_CHANGE): veth0_to_hsr: link becomes ready
[  207.477166][T10594] IPv6: ADDRCONF(NETDEV_CHANGE): hsr_slave_0: link becomes ready
[  207.498584][ T9279] device veth1_vlan entered promiscuous mode
[  207.510903][ T5100] IPv6: ADDRCONF(NETDEV_CHANGE): macvlan0: link becomes ready
[  207.514343][ T5100] IPv6: ADDRCONF(NETDEV_CHANGE): veth1_virt_wifi: link becomes ready
[  207.518002][ T5100] IPv6: ADDRCONF(NETDEV_CHANGE): veth0_virt_wifi: link becomes ready
[  207.520800][ T5100] IPv6: ADDRCONF(NETDEV_CHANGE): veth1_to_hsr: link becomes ready
[  207.525620][ T5100] IPv6: ADDRCONF(NETDEV_CHANGE): hsr_slave_1: link becomes ready
[  207.535938][ T9278] IPv6: ADDRCONF(NETDEV_CHANGE): hsr0: link becomes ready
[  207.568450][ T8637] IPv6: ADDRCONF(NETDEV_CHANGE): veth0_to_bridge: link becomes ready
[  207.571130][ T8637] IPv6: ADDRCONF(NETDEV_CHANGE): bridge_slave_0: link becomes ready
[  207.574922][ T8637] bridge0: port 1(bridge_slave_0) entered blocking state
[  207.577031][ T8637] bridge0: port 1(bridge_slave_0) entered forwarding state
[  207.579287][ T8637] IPv6: ADDRCONF(NETDEV_CHANGE): veth1_to_bridge: link becomes ready
[  207.583805][ T8637] IPv6: ADDRCONF(NETDEV_CHANGE): bridge_slave_1: link becomes ready
[  207.586393][ T8637] bridge0: port 2(bridge_slave_1) entered blocking state
[  207.587982][ T8637] bridge0: port 2(bridge_slave_1) entered forwarding state
[  207.634108][T10576] IPv6: ADDRCONF(NETDEV_CHANGE): macvlan1: link becomes ready
[  207.637453][T10576] IPv6: ADDRCONF(NETDEV_CHANGE): bridge0: link becomes ready
[  207.643866][T10576] IPv6: ADDRCONF(NETDEV_CHANGE): veth0_to_bond: link becomes ready
[  207.647622][T10576] IPv6: ADDRCONF(NETDEV_CHANGE): veth1_to_bond: link becomes ready
[  207.677182][ T9280] device veth0_vlan entered promiscuous mode
[  207.701758][ T8637] IPv6: ADDRCONF(NETDEV_CHANGE): veth0_to_team: link becomes ready
[  207.705315][ T8637] IPv6: ADDRCONF(NETDEV_CHANGE): team_slave_0: link becomes ready
[  207.708271][ T8637] IPv6: ADDRCONF(NETDEV_CHANGE): veth1_vlan: link becomes ready
[  207.711248][ T8637] IPv6: ADDRCONF(NETDEV_CHANGE): veth0_vlan: link becomes ready
[  207.739274][ T8637] IPv6: ADDRCONF(NETDEV_CHANGE): team0: link becomes ready
[  207.743588][ T8637] IPv6: ADDRCONF(NETDEV_CHANGE): vlan0: link becomes ready
[  207.746237][ T8637] IPv6: ADDRCONF(NETDEV_CHANGE): vlan1: link becomes ready
[  207.748650][ T8637] IPv6: ADDRCONF(NETDEV_CHANGE): vxcan1: link becomes ready
[  207.750526][ T8637] IPv6: ADDRCONF(NETDEV_CHANGE): vxcan0: link becomes ready
[  207.762767][T10595] IPv6: ADDRCONF(NETDEV_CHANGE): veth1_to_team: link becomes ready
[  207.768359][T10595] IPv6: ADDRCONF(NETDEV_CHANGE): team_slave_1: link becomes ready
[  207.790739][ T9280] device veth1_vlan entered promiscuous mode
[  207.850065][ T9275] hsr0: Slave A (hsr_slave_0) is not up; please bring it up to get a fully working HSR network
[  207.854326][ T9275] hsr0: Slave B (hsr_slave_1) is not up; please bring it up to get a fully working HSR network
[  207.858973][T10594] IPv6: ADDRCONF(NETDEV_CHANGE): macvlan0: link becomes ready
[  207.865719][T10594] IPv6: ADDRCONF(NETDEV_CHANGE): macvlan1: link becomes ready
[  207.868323][T10594] IPv6: ADDRCONF(NETDEV_CHANGE): veth0_to_hsr: link becomes ready
[  207.871083][T10594] IPv6: ADDRCONF(NETDEV_CHANGE): hsr_slave_0: link becomes ready
[  207.877288][T10594] IPv6: ADDRCONF(NETDEV_CHANGE): veth1_to_hsr: link becomes ready
[  207.880032][T10594] IPv6: ADDRCONF(NETDEV_CHANGE): hsr_slave_1: link becomes ready
[  207.887534][T10594] IPv6: ADDRCONF(NETDEV_CHANGE): hsr0: link becomes ready
[  207.898733][ T9278] 8021q: adding VLAN 0 to HW filter on device batadv0
[  207.955965][T10595] IPv6: ADDRCONF(NETDEV_CHANGE): veth1_macvtap: link becomes ready
[  207.960762][T10595] IPv6: ADDRCONF(NETDEV_CHANGE): veth0_macvtap: link becomes ready
[  207.978966][ T9279] device veth0_macvtap entered promiscuous mode
[  208.028081][ T9279] device veth1_macvtap entered promiscuous mode
[  208.046106][ T9280] device veth0_macvtap entered promiscuous mode
[  208.058140][T10594] IPv6: ADDRCONF(NETDEV_CHANGE): macvtap0: link becomes ready
[  208.060873][T10594] IPv6: ADDRCONF(NETDEV_CHANGE): macsec0: link becomes ready
[  208.065518][T10594] IPv6: ADDRCONF(NETDEV_CHANGE): vxcan1: link becomes ready
[  208.067406][T10594] IPv6: ADDRCONF(NETDEV_CHANGE): vxcan0: link becomes ready
[  208.069488][T10594] IPv6: ADDRCONF(NETDEV_CHANGE): veth1_macvtap: link becomes ready
[  208.075083][T10594] IPv6: ADDRCONF(NETDEV_CHANGE): veth0_macvtap: link becomes ready
[  208.077802][T10594] IPv6: ADDRCONF(NETDEV_CHANGE): veth1_virt_wifi: link becomes ready
[  208.080641][T10594] IPv6: ADDRCONF(NETDEV_CHANGE): veth0_virt_wifi: link becomes ready
[  208.092920][ T9275] 8021q: adding VLAN 0 to HW filter on device batadv0
[  208.095518][T10594] IPv6: ADDRCONF(NETDEV_CHANGE): macvtap0: link becomes ready
[  208.129646][ T9280] device veth1_macvtap entered promiscuous mode
[  208.169556][ T9278] device veth0_vlan entered promiscuous mode
[  208.180593][ T5100] IPv6: ADDRCONF(NETDEV_CHANGE): macsec0: link becomes ready
[  208.184096][ T5100] IPv6: ADDRCONF(NETDEV_CHANGE): veth1_vlan: link becomes ready
[  208.186770][ T5100] IPv6: ADDRCONF(NETDEV_CHANGE): veth0_vlan: link becomes ready
[  208.190829][ T5100] IPv6: ADDRCONF(NETDEV_CHANGE): vlan0: link becomes ready
[  208.197711][ T5100] IPv6: ADDRCONF(NETDEV_CHANGE): vlan1: link becomes ready
[  208.210987][ T9280] batman_adv: batadv0: Interface activated: batadv_slave_0
[  208.257161][T10595] IPv6: ADDRCONF(NETDEV_CHANGE): batadv_slave_0: link becomes ready
[  208.261071][T10595] IPv6: ADDRCONF(NETDEV_CHANGE): veth0_to_batadv: link becomes ready
[  208.270086][ T9280] batman_adv: batadv0: Interface activated: batadv_slave_1
[  208.285421][ T9278] device veth1_vlan entered promiscuous mode
[  208.292112][ T5109] IPv6: ADDRCONF(NETDEV_CHANGE): batadv_slave_1: link becomes ready
[  208.295307][ T5109] IPv6: ADDRCONF(NETDEV_CHANGE): veth1_to_batadv: link becomes ready
[  208.298725][ T5109] IPv6: ADDRCONF(NETDEV_CHANGE): veth1_virt_wifi: link becomes ready
[  208.303125][ T5109] IPv6: ADDRCONF(NETDEV_CHANGE): veth0_virt_wifi: link becomes ready
[  208.313117][ T9279] batman_adv: The newly added mac address (aa:aa:aa:aa:aa:3d) already exists on: batadv_slave_0
[  208.315626][ T9279] batman_adv: It is strongly recommended to keep mac addresses unique to avoid problems!
[  208.320879][ T9279] batman_adv: batadv0: Interface activated: batadv_slave_0
[  208.344727][ T8637] IPv6: ADDRCONF(NETDEV_CHANGE): batadv_slave_0: link becomes ready
[  208.347669][ T8637] IPv6: ADDRCONF(NETDEV_CHANGE): veth0_to_batadv: link becomes ready
[  208.358723][ T9280] netdevsim netdevsim3 netdevsim0: set [1, 0] type 2 family 0 port 6081 - 0
[  208.360891][ T9280] netdevsim netdevsim3 netdevsim1: set [1, 0] type 2 family 0 port 6081 - 0
